Language	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Files	Depth
Classical Chinese	lzh	10,194	82,199	344,616	7	82,260	65	0	209
Meadow Mari	mhr	10,125	24,874	179,102	1	10,973	27	0	15
Fiji Hindi	hif	9,773	35,586	253,572	2	24,135	25	193	50
Central Bicolano	bcl	9,484	17,561	188,334	2	15,159	37	878	8
Hakka	hak	9,286	17,849	117,159	1	25,920	23	0	6
Tarantino	roa-tara	9,249	17,392	136,332	2	9,254	13	290	6
Kapampangan	pam	8,637	18,635	282,113	2	16,680	23	412	20
Northern Sotho	nso	8,175	10,085	39,439	1	4,515	10	0	0
Khmer	km	8,019	29,160	242,914	4	29,224	52	1,196	58
Western Armenian	hyw	7,864	16,181	159,015	2	2,623	36	0	11
Northern Sami	se	7,617	19,657	293,946	6	21,629	32	0	37
Rusyn	rue	7,461	15,333	117,241	1	19,348	28	0	9
Maori	mi	7,159	12,874	148,954	2	12,002	21	0	7
West Flemish	vls	7,080	19,987	303,306	5	20,132	30	500	50
Crimean Tatar	crh	7,070	23,131	145,652	2	13,947	29	0	32
Bhojpuri	bho	7,041	56,929	665,998	2	21,515	36	56	587
Nahuatl	nah	6,976	18,397	450,624	3	17,807	17	175	66
Dutch Low Saxon	nds-NL	6,940	17,453	305,810	6	20,716	27	610	40
Shan	shn	6,886	16,706	37,672	2	1,442	8	14	5
Sardinian	sc	6,447	14,128	163,442	4	17,077	32	140	16
Gan	gan	6,430	33,357	392,394	4	33,637	24	146	206
Vepsian	vep	6,410	24,079	124,123	1	11,664	26	0	39
Assamese	as	6,405	49,436	216,055	5	25,369	73	1,195	197
Abkhazian	ab	6,044	17,571	95,531	2	14,339	30	9	20
Gilaki	glk	5,936	12,336	53,774	3	11,888	23	807	5
Tibetan	bo	5,887	17,056	137,082	1	21,258	19	0	29
Erzya	myv	5,878	17,671	118,343	3	9,583	19	0	27
Corsican	co	5,790	13,059	365,056	2	16,153	24	0	44
Somali	so	5,750	20,492	199,246	2	25,045	83	0	64
Turkmen	tk	5,667	13,413	211,444	2	18,920	33	308	29
Võro	fiu-vro	5,535	10,477	169,313	2	10,949	16	211	13
Komi	kv	5,335	14,711	133,691	1	11,033	24	0	28
Kashubian	csb	5,331	8,528	182,811	3	12,958	18	0	8
Northern Luri	lrc	5,327	9,284	126,013	2	4,345	17	0	7
Shona	sn	5,004	12,053	71,059	1	11,125	18	0	12
Manx	gv	5,002	16,924	298,377	3	15,435	16	181	100
Udmurt	udm	4,854	14,872	114,218	4	11,451	23	9	33
Interlingue	ie	4,733	7,616	123,145	1	13,372	27	0	6
Zeelandic	zea	4,728	8,945	110,290	4	9,861	20	1	10
Picard	pcd	4,678	9,566	64,424	2	11,897	23	49	7
Hausa	ha	4,663	10,109	57,564	3	10,463	36	0	8
Aymara	ay	4,646	8,223	90,885	1	12,944	18	0	7
Kabyle	kab	4,511	12,265	94,200	2	9,478	20	0	23
Norman	fr-x-nrm	4,344	9,593	213,496	1	10,521	18	0	32
Uyghur	ug	4,251	12,427	146,305	1	15,962	23	290	44
Lezgian	lez	4,057	11,198	80,095	6	7,717	22	10	22
Saterland Frisian	stq	4,017	10,471	118,516	4	10,664	13	442	29
Cornish	kw	3,939	8,346	176,853	1	11,262	18	0	27
Hawaiian	haw	3,873	6,829	91,308	1	11,988	17	0	8
Mirandese	mwl	3,785	9,982	95,891	2	10,274	18	0	26
Guarani	gn	3,762	8,955	109,708	2	13,300	25	0	23
Lingua Franca Nova	lfn	3,754	5,861	33,224	2	4,554	15	0	2
Goan Konkani	gom	3,724	8,443	182,253	3	5,777	20	0	35
Ligurian	lij	3,690	15,609	167,033	3	11,084	24	0	112
Romansh	rm	3,650	8,779	157,289	3	15,257	28	50	35
Lao	lo	3,547	11,026	84,465	1	12,255	27	0	34
Ladino	lad	3,545	12,738	205,224	5	16,566	20	23	108
